시점,시도별,농축수산물,공업제품,전기 · 가스 · 수도,집세,공공서비스,개인서비스,출산율
2015,　　　대전광역시,82.784,98.248,114.434,98.559,102.762,90.471,1.24
2016,　　　대전광역시,85.876,97.954,104.245,99.1,103.883,92.56,1.17
2017,　　　대전광역시,91.11,99.282,103.021,99.657,104.499,94.459,1.05
2018,　　　대전광역시,94.248,100.62,99.918,99.731,104.734,97.199,0.98
2019,　　　대전광역시,93.669,100.33,101.469,99.524,103.217,98.772,0.92
2020,　　　대전광역시,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　대전광역시,108.84,102.42,97.51,102.14,100.7,102.41,0.81
2022,　　　대전광역시,112.13,109.12,109.1,103.92,101.36,107.85,0.78
2012,　　　울산광역시,85.339,97.109,117.335,98.716,98.969,85.956,1.3
2013,　　　울산광역시,85.159,98.005,122.209,101.643,99.465,87.947,1.19
2014,　　　울산광역시,84.253,99.179,127.225,102.972,100.066,89.234,1.21
2015,　　　울산광역시,85.504,98.782,115.9,103.861,100.902,91.285,1.24
2016,　　　울산광역시,88.619,98.504,104.54,104.536,102.219,94.053,1.17
2017,　　　울산광역시,93.137,99.807,103.374,104.564,103.06,96.583,1.05
2018,　　　울산광역시,95.208,100.808,100.805,103.489,103.233,98.419,0.98
2019,　　　울산광역시,92.953,100.17,101.82,101.226,102.539,99.287,0.92
2020,　　　울산광역시,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　울산광역시,109.05,102.2,97.07,101.66,100.73,102.43,0.81
2022,　　　울산광역시,112.81,108.65,109.3,104.2,101.72,107.52,0.78
2012,　　　경기도,85.52,96.444,114.137,88.109,96.184,85.882,1.3
2013,　　　경기도,85.465,97.197,119.364,90.288,96.601,87.069,1.19
2014,　　　경기도,82.766,98.487,123.707,92.519,97.072,88.466,1.21
2015,　　　경기도,84.023,98.185,115.369,95.367,98.684,89.937,1.24
2016,　　　경기도,86.939,97.734,104.566,97.381,100.515,92.133,1.17
2017,　　　경기도,92.013,99.179,102.986,99.355,101.39,94.523,1.05
2018,　　　경기도,94.954,100.497,99.988,100.156,101.493,96.992,0.98
2019,　　　경기도,93.649,100.216,101.397,100.028,101.315,98.758,0.92
2020,　　　경기도,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　경기도,109.58,102.29,98.17,101.57,100.95,102.61,0.81
2022,　　　경기도,113.73,109.13,109.77,104.12,101.78,108.19,0.78
2012,　　　강원도,84.968,98.192,110.591,93.428,96.587,84.779,1.3
2013,　　　강원도,84.865,99.013,114.878,95.852,97.296,85.836,1.19
2014,　　　강원도,82.338,99.597,117.582,97.097,97.906,87.125,1.21
2015,　　　강원도,83.734,98.263,112.202,98.04,98.919,88.442,1.24
2016,　　　강원도,86.777,97.432,104.724,99.02,100.009,91.042,1.17
2017,　　　강원도,90.988,99.225,101.964,100.227,100.806,93.506,1.05
2018,　　　강원도,93.776,100.622,99.2,100.868,101.054,96.0,0.98
2019,　　　강원도,93.303,100.492,100.595,100.58,101.567,98.513,0.92
2020,　　　강원도,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　강원도,109.65,102.69,98.28,100.36,100.95,102.65,0.81
2022,　　　강원도,114.87,111.23,110.27,101.37,102.11,108.53,0.78
2012,　　　충청북도,84.645,97.813,112.282,95.733,96.74,85.425,1.3
2013,　　　충청북도,83.93,98.694,117.029,98.63,97.476,86.868,1.19
2014,　　　충청북도,82.486,99.676,121.566,99.824,98.574,88.386,1.21
2015,　　　충청북도,83.268,98.53,114.278,100.332,98.989,89.631,1.24
2016,　　　충청북도,86.518,97.651,104.519,101.073,100.116,91.854,1.17
2017,　　　충청북도,90.535,99.336,102.866,101.461,100.597,94.724,1.05
2018,　　　충청북도,94.943,100.788,99.936,101.049,100.705,97.262,0.98
2019,　　　충청북도,94.211,100.476,100.975,100.401,100.687,98.911,0.92
2020,　　　충청북도,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　충청북도,108.76,102.74,98.51,100.35,101.98,102.31,0.81
2022,　　　충청북도,112.8,110.67,109.56,101.73,103.38,108.01,0.78
2012,　　　충청남도,83.912,98.453,112.905,93.352,98.832,86.977,1.3
2013,　　　충청남도,82.163,99.183,117.739,97.188,99.897,88.442,1.19
2014,　　　충청남도,79.582,99.967,122.075,99.642,100.993,88.253,1.21
2015,　　　충청남도,82.854,98.718,113.412,101.667,101.966,89.674,1.24
2016,　　　충청남도,85.715,97.925,103.957,102.431,103.016,92.291,1.17
2017,　　　충청남도,90.154,99.557,103.02,102.555,104.107,94.606,1.05
2018,　　　충청남도,93.611,100.786,100.032,101.686,104.257,97.071,0.98
2019,　　　충청남도,92.529,100.432,101.736,100.397,100.873,98.827,0.92
2020,　　　충청남도,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　충청남도,108.97,102.73,99.39,101.17,101.18,102.28,0.81
2022,　　　충청남도,114.08,111.15,111.46,103.2,100.82,107.89,0.78
2012,　　　전라북도,83.393,98.749,114.353,95.487,97.144,84.988,1.3
2013,　　　전라북도,84.095,99.432,118.976,97.916,97.948,86.201,1.19
2014,　　　전라북도,81.156,100.569,123.037,98.686,98.948,88.056,1.21
2015,　　　전라북도,82.994,98.804,114.959,98.861,99.751,89.935,1.24
2016,　　　전라북도,86.346,97.819,104.972,99.258,100.803,92.336,1.17
2017,　　　전라북도,89.444,99.532,102.872,99.918,102.245,94.565,1.05
2018,　　　전라북도,93.796,101.21,99.851,100.164,102.585,96.807,0.98
