시점,시도별,농축수산물,공업제품,전기 · 가스 · 수도,집세,공공서비스,외식,외식제외,출산율
2015,　　　대구광역시,84.536,97.875,114.992,97.941,99.582,87.88,89.46,1.24
2016,　　　대구광역시,88.419,97.387,105.144,99.159,100.496,90.677,92.1,1.17
2017,　　　대구광역시,92.585,99.039,103.172,99.593,102.689,92.939,94.407,1.05
2018,　　　대구광역시,97.164,100.52,100.025,99.784,103.163,95.903,96.478,0.98
2019,　　　대구광역시,95.978,100.261,101.365,99.67,102.595,99.131,98.565,0.92
2020,　　　대구광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　대구광역시,108.96,102.48,97.66,101.33,100.87,102.62,102.71,0.81
2022,　　　대구광역시,113.0,109.63,110.08,102.44,101.51,110.57,106.92,0.78
2012,　　　인천광역시,85.582,94.91,116.39,87.791,98.392,83.553,85.909,1.3
2013,　　　인천광역시,85.792,95.742,122.265,89.072,98.757,85.15,86.248,1.19
2014,　　　인천광역시,82.788,97.133,127.538,91.3,99.662,86.759,87.899,1.21
2015,　　　인천광역시,83.999,98.075,116.187,94.264,100.78,88.782,89.603,1.24
2016,　　　인천광역시,86.635,97.713,104.29,96.23,102.514,90.486,92.285,1.17
2017,　　　인천광역시,90.527,99.162,103.172,98.009,103.126,93.251,94.483,1.05
2018,　　　인천광역시,95.286,100.262,99.909,99.211,102.996,97.057,96.365,0.98
2019,　　　인천광역시,93.817,100.054,101.669,99.562,102.06,98.673,97.796,0.92
2020,　　　인천광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　인천광역시,108.75,102.47,96.27,101.49,101.28,102.43,102.93,0.81
2022,　　　인천광역시,113.16,109.2,108.4,103.28,101.45,110.81,107.42,0.78
2012,　　　광주광역시,86.055,96.443,113.914,91.752,98.719,85.435,84.328,1.3
2013,　　　광주광역시,85.3,97.193,119.577,95.004,99.453,85.592,86.515,1.19
2014,　　　광주광역시,84.213,98.507,124.489,96.326,100.002,88.521,88.614,1.21
2015,　　　광주광역시,86.332,98.037,114.434,97.513,100.44,89.791,90.204,1.24
2016,　　　광주광역시,89.346,97.559,104.227,98.114,101.78,92.925,92.859,1.17
2017,　　　광주광역시,94.693,99.135,103.192,98.767,103.184,94.885,95.536,1.05
2018,　　　광주광역시,95.096,100.48,99.994,99.376,103.234,97.569,97.325,0.98
2019,　　　광주광역시,93.956,100.172,101.606,99.669,102.795,98.7,98.693,0.92
2020,　　　광주광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　광주광역시,110.05,102.3,97.35,100.82,100.92,103.23,102.12,0.81
2022,　　　광주광역시,115.59,109.23,109.41,101.91,101.68,110.53,105.74,0.78
2012,　　　대전광역시,87.159,96.658,114.59,94.145,101.288,87.684,85.972,1.3
2013,　　　대전광역시,85.236,97.477,119.837,95.744,101.708,89.34,86.876,1.19
2014,　　　대전광역시,82.404,98.64,124.577,97.67,101.927,90.363,87.79,1.21
2015,　　　대전광역시,82.784,98.248,114.434,98.559,102.762,92.407,89.376,1.24
2016,　　　대전광역시,85.876,97.954,104.245,99.1,103.883,94.69,91.351,1.17
2017,　　　대전광역시,91.11,99.282,103.021,99.657,104.499,96.015,93.586,1.05
2018,　　　대전광역시,94.248,100.62,99.918,99.731,104.734,99.068,96.143,0.98
