"시점","행정구역(시군구)별","성별",15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세
"2013","서초구","여자",2705,2666.5,2703.5,2743,2727.5,2730,2810.5,2720,2765.5,3008.5,3162.5,3287.5,3450.5,3643,3984.5,4321,4449,4433,4306,3879.5,3802.5,3972,3896,3905.5,4173,4317,4515.5,4550.5,4457.5,4220.5,3995.5,3442,3221.5,3443.5,3377.5
"2013","강남구","여자",3747.5,3806,3919,4011.5,3875.5,3860,3997,3886.5,3850.5,4085,4332,4556,4942.5,5266,5647,6091.5,6315,6111,6008,5286.5,4779,4753.5,4528,4610.5,4782,5050.5,5318.5,5612,5711.5,5661,5634.5,5032,4821.5,5144,4835
"2013","송파구","여자",4021,4252.5,4352.5,4366.5,4309.5,4409,4456.5,4378.5,4430,4627,4855.5,5121.5,5446.5,5700.5,6153,6626.5,6833,6820,6696,5940,5577,5614.5,5386,5574,5961,6185,6372,6300.5,6157.5,6101.5,5872,5315.5,5263,5521,5342.5
"2013","강동구","여자",2683,2807,2957,3067.5,3009,3138.5,3281.5,3126.5,3112.5,3208.5,3272,3387.5,3512.5,3673,3934.5,4420.5,4550.5,4571.5,4508.5,4026,3725,3683,3555,3705,3900.5,4036.5,4092,4151.5,4159,4206,4117.5,3846,3822,4107,4054.5
"2013","부산광역시","여자",19225,20311,21118.5,21641,21996.5,22767,23346.5,22077,21445,21441.5,21053,20831,20958,21608,23109.5,25468,27097.5,27506,27115,24551,23165,23302.5,23522,25359,27090,27726,28541.5,29424.5,29682,30294.5,30451.5,28506.5,28033.5,29020,28444.5
"2013","중구","여자",188.5,214.5,224.5,220.5,234.5,270.5,270,247.5,252.5,286.5,276.5,265,258.5,261.5,279.5,334,358,363,307,287.5,264.5,262,273,311.5,327,320.5,333.5,372,363,367,345,323.5,338.5,359,356
"2013","서구","여자",606,630.5,668,664,680.5,734,756.5,730.5,722,702,677.5,665.5,655,690,693.5,750,804,778.5,762.5,675.5,612,585,635.5,715,773,802,824.5,837.5,858,875.5,855,816,832.5,856.5,845
"2013","동구","여자",429.5,459.5,472.5,506,525,507,526,495,517.5,513,511.5,508,532,568.5,588.5,614.5,666,652,627,567,541.5,527,515,561,626,634.5,648,666,683.5,692,677,661,660.5,661,656.5
"2013","영도구","여자",678,745,755,754,745,777.5,809,726.5,731.5,773.5,729,681,719,758,774.5,813.5,850.5,891.5,896.5,804,750,746,797.5,864,921.5,939,929,954.5,984,1020,1017.5,965,978,1024.5,987
"2013","부산진구","여자",1849.5,1953,2048,2176,2297.5,2421.5,2602.5,2568,2569.5,2656.5,2654.5,2646.5,2702.5,2774.5,2970,3273.5,3364,3333.5,3232.5,2921.5,2698.5,2690,2683,2787.5,2937,2997.5,3074.5,3057.5,2989.5,3067.5,3117.5,2960,2913.5,3062,2994.5
