"시군구별(1)","시군구별(2)",시점,합계출산율
"경기도","파주시",2018,1.112
"경기도","파주시",2019,1.050
"경기도","파주시",2020,0.917
"경기도","파주시",2021,0.837
"경기도","파주시",2022 p),0.860
"경기도","이천시",2012,1.562
"경기도","이천시",2013,1.367
"경기도","이천시",2014,1.387
"경기도","이천시",2015,1.470
"경기도","이천시",2016,1.360
"경기도","이천시",2017,1.234
"경기도","이천시",2018,1.106
"경기도","이천시",2019,0.991
"경기도","이천시",2020,0.921
"경기도","이천시",2021,0.878
"경기도","이천시",2022 p),0.860
"경기도","안성시",2012,1.555
"경기도","안성시",2013,1.404
"경기도","안성시",2014,1.371
"경기도","안성시",2015,1.335
"경기도","안성시",2016,1.285
"경기도","안성시",2017,1.178
"경기도","안성시",2018,1.026
"경기도","안성시",2019,1.002
"경기도","안성시",2020,0.842
"경기도","안성시",2021,0.855
"경기도","안성시",2022 p),0.850
"경기도","김포시",2012,1.472
"경기도","김포시",2013,1.356
"경기도","김포시",2014,1.441
"경기도","김포시",2015,1.461
"경기도","김포시",2016,1.296
"경기도","김포시",2017,1.175
"경기도","김포시",2018,1.094
"경기도","김포시",2019,1.016
"경기도","김포시",2020,0.976
"경기도","김포시",2021,0.968
"경기도","김포시",2022 p),0.930
"경기도","화성시",2012,1.757
"경기도","화성시",2013,1.542
"경기도","화성시",2014,1.512
"경기도","화성시",2015,1.555
"경기도","화성시",2016,1.555
"경기도","화성시",2017,1.391
"경기도","화성시",2018,1.309
"경기도","화성시",2019,1.199
"경기도","화성시",2020,1.088
"경기도","화성시",2021,1.006
"경기도","화성시",2022 p),0.970
"경기도","광주시",2012,1.471
"경기도","광주시",2013,1.340
"경기도","광주시",2014,1.453
"경기도","광주시",2015,1.450
"경기도","광주시",2016,1.323
"경기도","광주시",2017,1.187
"경기도","광주시",2018,1.127
"경기도","광주시",2019,1.043
"경기도","광주시",2020,0.959
"경기도","광주시",2021,0.883
"경기도","광주시",2022 p),0.880
"경기도","양주시",2012,1.486
"경기도","양주시",2013,1.297
"경기도","양주시",2014,1.354
"경기도","양주시",2015,1.318
"경기도","양주시",2016,1.279
"경기도","양주시",2017,1.188
"경기도","양주시",2018,1.090
"경기도","양주시",2019,1.030
"경기도","양주시",2020,0.987
"경기도","양주시",2021,0.939
"경기도","양주시",2022 p),0.900
"경기도","포천시",2012,1.462
"경기도","포천시",2013,1.233
"경기도","포천시",2014,1.196
"경기도","포천시",2015,1.354
"경기도","포천시",2016,1.258
"경기도","포천시",2017,1.152
"경기도","포천시",2018,1.056
"경기도","포천시",2019,0.889
"경기도","포천시",2020,0.868
"경기도","포천시",2021,0.805
"경기도","포천시",2022 p),0.820
"경기도","여주시",2012,-
"경기도","여주시",2013,1.308
"경기도","여주시",2014,1.354
"경기도","여주시",2015,1.336
"경기도","여주시",2016,1.303
"경기도","여주시",2017,1.073
"경기도","여주시",2018,1.118
"경기도","여주시",2019,1.083
"경기도","여주시",2020,1.053
"경기도","여주시",2021,0.893
"경기도","여주시",2022 p),0.900
"경기도","양주군",2012,-
"경기도","양주군",2013,-
"경기도","양주군",2014,-
"경기도","양주군",2015,-
"경기도","양주군",2016,-
"경기도","양주군",2017,-
"경기도","양주군",2018,-
"경기도","양주군",2019,-
"경기도","양주군",2020,-
"경기도","양주군",2021,-
"경기도","양주군",2022 p),-
"경기도","여주군",2012,1.347
"경기도","여주군",2013,-
"경기도","여주군",2014,-
"경기도","여주군",2015,-
"경기도","여주군",2016,-
"경기도","여주군",2017,-
"경기도","여주군",2018,-
"경기도","여주군",2019,-
"경기도","여주군",2020,-
"경기도","여주군",2021,-
"경기도","여주군",2022 p),-
"경기도","화성군",2012,-
"경기도","화성군",2013,-
"경기도","화성군",2014,-
"경기도","화성군",2015,-
"경기도","화성군",2016,-
"경기도","화성군",2017,-
"경기도","화성군",2018,-
"경기도","화성군",2019,-
"경기도","화성군",2020,-
"경기도","화성군",2021,-
"경기도","화성군",2022 p),-
"경기도","광주군",2012,-
"경기도","광주군",2013,-
"경기도","광주군",2014,-
"경기도","광주군",2015,-
"경기도","광주군",2016,-
"경기도","광주군",2017,-
"경기도","광주군",2018,-
"경기도","광주군",2019,-
"경기도","광주군",2020,-
"경기도","광주군",2021,-
"경기도","광주군",2022 p),-
"경기도","연천군",2012,1.821
"경기도","연천군",2013,1.922
"경기도","연천군",2014,1.850
"경기도","연천군",2015,1.729
"경기도","연천군",2016,1.863
"경기도","연천군",2017,1.590
"경기도","연천군",2018,1.613
"경기도","연천군",2019,1.413
"경기도","연천군",2020,1.281
"경기도","연천군",2021,1.188
"경기도","연천군",2022 p),1.050
"경기도","포천군",2012,-
"경기도","포천군",2013,-
"경기도","포천군",2014,-
"경기도","포천군",2015,-
"경기도","포천군",2016,-
"경기도","포천군",2017,-
"경기도","포천군",2018,-
"경기도","포천군",2019,-
"경기도","포천군",2020,-
"경기도","포천군",2021,-
"경기도","포천군",2022 p),-
"경기도","가평군",2012,1.393
"경기도","가평군",2013,1.207
"경기도","가평군",2014,1.251
"경기도","가평군",2015,1.270
"경기도","가평군",2016,1.283
"경기도","가평군",2017,1.307
"경기도","가평군",2018,1.093
"경기도","가평군",2019,0.971
"경기도","가평군",2020,1.025
"경기도","가평군",2021,0.969
"경기도","가평군",2022 p),0.810
"경기도","양평군",2012,1.296
"경기도","양평군",2013,1.224
"경기도","양평군",2014,1.294
"경기도","양평군",2015,1.180
"경기도","양평군",2016,1.220
"경기도","양평군",2017,1.163
"경기도","양평군",2018,0.994
"경기도","양평군",2019,1.024
"경기도","양평군",2020,0.967
"경기도","양평군",2021,0.945
"경기도","양평군",2022 p),0.920
"강원도","소계",2012,1.374
"강원도","소계",2013,1.249
"강원도","소계",2014,1.248
"강원도","소계",2015,1.311
"강원도","소계",2016,1.237
"강원도","소계",2017,1.123
"강원도","소계",2018,1.067
"강원도","소계",2019,1.082
"강원도","소계",2020,1.036
"강원도","소계",2021,0.979
"강원도","소계",2022 p),0.970
"강원도","춘천시",2012,1.270
"강원도","춘천시",2013,1.203
"강원도","춘천시",2014,1.173
"강원도","춘천시",2015,1.202
"강원도","춘천시",2016,1.168
"강원도","춘천시",2017,1.032
"강원도","춘천시",2018,1.024
"강원도","춘천시",2019,1.017
"강원도","춘천시",2020,0.975
"강원도","춘천시",2021,0.902
