시점,시도별,분유,이유식,TV,영상음향기기,휴대용멀티미디어기기,악기,유아동복,유아용학습교재,초등학교학습서,중학교학습서,고등학교학습서,아동화,장난감,반려동물용품,종이문구,기타문구,필기구,회화용구,유모차,유치원납입금,보육시설이용료,요양시설이용료,반려동물관리비,노래방이용료,놀이시설이용료,운동경기관람료,영화관람료,공연예술관람료,관람시설이용료,문화강습료,온라인콘텐츠이용료,초등학생학원비,중학생학원비,고등학생학원비,음악학원비,미술학원비,운동학원비,전산학원비,가정학습지,이러닝이용료,학교보충교육비,외국어학원비,운동강습료,미용료,뷰티미용료,산후조리원이용료,출산율
2017,　　　광주광역시,104.741,98.899,131.35,103.247,97.07,94.794,103.066,98.334,91.743,93.923,94.256,93.31,98.322,102.603,97.784,96.918,102.715,97.776,105.31,105.987,108.47,84.348,99.459,100.0,94.941,90.239,88.453,104.348,93.276,92.212,98.749,99.437,96.84,96.808,90.886,91.06,93.993,96.517,96.709,111.252,105.51,96.324,98.415,96.71,96.484,92.711,1.05
2018,　　　광주광역시,98.769,91.736,117.371,101.364,101.444,96.725,103.455,98.334,95.856,95.232,95.986,94.091,98.379,100.524,97.904,98.846,102.718,97.009,106.535,108.987,110.081,92.126,99.459,100.0,95.814,90.239,94.999,104.348,97.621,92.212,98.749,99.437,97.469,98.53,94.689,94.613,96.255,98.23,97.091,111.252,103.699,96.324,98.415,98.666,97.745,95.526,0.98
2019,　　　광주광역시,98.147,97.821,108.932,99.933,102.703,99.514,101.983,98.358,98.506,99.774,98.609,97.538,99.206,99.503,99.106,98.759,103.815,97.118,104.484,111.233,109.87,97.607,99.549,100.0,98.234,90.239,97.437,104.348,99.18,99.346,99.987,99.437,98.847,99.511,95.342,96.993,98.415,98.573,100.0,120.623,100.944,98.374,100.0,99.288,98.309,97.81,0.92
2020,　　　광주광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　광주광역시,102.18,100.0,97.82,98.25,99.07,100.08,98.99,100.31,100.61,100.0,101.25,100.0,99.19,99.79,103.29,107.97,99.75,101.23,95.78,92.02,92.8,101.07,100.28,100.0,102.44,106.56,116.48,104.54,107.39,100.42,100.45,101.66,102.26,101.51,103.9,100.97,105.99,100.38,99.73,107.46,99.77,106.09,100.0,98.96,101.59,102.21,0.81
2022,　　　광주광역시,103.33,100.15,96.03,101.2,100.51,102.78,102.73,100.32,105.16,101.28,106.8,100.53,100.39,107.79,113.4,112.65,101.11,102.72,101.88,80.01,90.79,104.85,101.38,101.14,105.31,106.56,125.32,104.54,111.51,106.26,103.13,102.15,104.07,105.64,109.98,103.84,111.8,108.94,103.73,110.01,103.56,112.72,100.0,102.98,102.12,103.09,0.78
2012,　　　대전광역시,102.103,94.291,211.736,98.93,102.938,99.833,89.771,89.448,76.668,85.463,91.137,93.95,90.837,91.383,85.141,82.025,94.927,89.695,95.646,131.388,153.181,72.77,89.288,93.862,88.141,72.529,75.966,100.0,80.927,88.108,92.749,85.961,89.912,79.614,86.322,82.429,79.533,75.82,94.766,106.47,88.824,83.595,84.904,78.7,87.982,93.289,1.3
2013,　　　대전광역시,101.656,95.359,202.167,107.63,98.527,98.254,94.374,91.265,77.671,89.629,91.119,93.95,89.629,97.448,84.419,84.274,94.779,89.009,96.955,110.749,112.217,74.763,91.216,93.862,89.822,73.98,75.966,100.0,82.882,88.518,94.599,89.122,92.946,81.159,86.95,83.735,80.946,84.073,96.371,108.184,88.887,87.062,84.904,86.071,90.635,95.734,1.19
2014,　　　대전광역시,108.708,95.783,180.011,106.341,93.966,95.41,96.571,91.465,79.98,93.451,91.119,93.95,90.439,98.767,89.144,87.386,96.79,90.954,97.934,108.79,114.135,77.335,92.761,93.862,92.0,75.461,83.405,100.0,85.584,97.911,94.442,89.099,93.301,82.358,87.894,90.152,84.469,92.933,96.231,108.184,86.61,88.96,85.014,87.231,93.406,94.756,1.21
2015,　　　대전광역시,114.177,98.969,157.692,107.067,88.127,94.925,97.741,95.359,86.986,93.923,91.216,93.95,93.413,99.511,89.274,92.178,97.831,93.601,94.537,119.206,121.487,79.777,95.367,97.343,92.552,87.788,85.462,100.0,87.736,89.7,94.442,89.938,93.506,85.172,92.938,93.318,90.654,95.201,95.129,109.348,86.61,92.04,87.245,89.52,95.566,96.778,1.24
2016,　　　대전광역시,107.407,97.386,143.824,106.821,91.959,97.035,99.669,95.855,88.343,93.923,92.789,93.95,97.754,101.724,87.996,92.866,96.663,93.807,98.053,121.218,122.955,81.117,95.367,99.192,94.001,88.66,87.74,100.0,89.177,95.409,97.979,89.938,93.777,89.603,94.554,94.756,91.515,94.688,96.66,111.252,86.61,97.096,87.96,89.544,96.204,97.332,1.17
2017,　　　대전광역시,106.269,98.899,131.35,102.695,97.07,98.563,103.058,98.334,91.743,93.923,94.256,93.31,98.576,100.629,87.118,94.78,96.225,93.925,105.31,121.924,123.876,84.348,96.572,107.948,95.797,91.919,88.453,100.0,93.276,94.402,98.749,89.938,94.039,92.175,97.093,95.735,91.515,94.382,96.709,111.252,92.709,97.671,87.96,90.335,97.659,100.877,1.05
2018,　　　대전광역시,100.346,91.736,117.371,98.73,101.444,100.27,103.447,98.334,95.856,95.232,95.986,94.091,99.578,97.91,89.553,99.28,96.75,92.977,106.535,121.449,124.708,92.126,97.565,109.861,98.362,92.215,94.999,100.0,97.621,94.542,98.749,94.487,95.676,93.007,98.42,97.268,95.343,95.021,97.091,111.252,98.028,98.086,89.603,94.675,97.659,101.674,0.98
2019,　　　대전광역시,98.131,97.821,108.932,97.213,102.703,100.319,101.976,98.358,98.506,99.774,98.609,97.538,99.546,97.263,94.613,101.565,99.292,97.168,104.484,106.872,103.396,97.607,98.765,103.781,100.133,97.246,97.437,100.0,99.18,96.632,99.987,97.801,97.732,98.13,100.0,98.731,100.0,95.021,100.0,120.623,99.808,100.031,94.708,99.056,99.097,101.256,0.92
2020,　　　대전광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　대전광역시,101.84,100.0,97.82,98.33,99.07,99.19,98.99,100.31,100.61,100.0,101.25,100.0,99.92,101.07,98.16,107.79,100.16,100.68,95.78,94.54,106.26,101.07,100.13,100.0,101.32,101.44,116.48,100.0,107.39,103.24,100.45,100.09,102.26,100.88,101.6,101.57,104.37,101.1,99.73,107.46,69.87,102.01,103.63,100.83,104.89,102.17,0.81
2022,　　　대전광역시,104.06,100.15,96.03,101.01,100.51,99.05,102.73,100.32,105.16,101.28,106.8,100.53,99.63,108.82,101.92,114.26,100.42,102.1,101.88,87.38,107.65,104.85,102.39,106.3,106.48,101.44,125.32,100.0,111.51,103.97,103.13,103.53,104.33,102.03,105.27,106.72,104.92,101.1,103.73,110.01,87.0,103.57,110.41,104.75,106.94,106.14,0.78
2012,　　　울산광역시,99.422,94.381,207.188,102.061,102.669,102.344,89.827,89.448,76.668,85.463,91.137,93.95,88.928,94.875,93.16,76.497,93.149,79.119,114.451,124.003,157.385,72.77,95.048,99.168,78.709,65.801,77.474,83.333,80.927,81.447,92.749,86.772,87.796,82.919,80.061,80.425,75.12,70.297,94.766,106.47,99.896,84.586,85.86,84.287,88.156,94.833,1.3
2013,　　　울산광역시,99.074,94.713,199.392,106.956,99.667,102.55,94.431,91.265,77.671,89.629,91.119,93.95,87.743,99.194,93.661,78.317,92.622,78.816,100.11,96.17,105.862,74.763,95.147,100.0,80.539,65.801,79.304,83.333,82.882,83.143,94.599,90.631,92.439,89.718,83.479,83.976,77.422,78.942,96.371,108.184,97.075,92.263,89.102,88.611,89.678,96.34,1.19
2014,　　　울산광역시,105.713,95.318,176.319,105.845,95.655,98.756,96.624,91.465,79.98,93.451,91.119,93.95,90.21,101.082,95.166,84.523,96.129,83.481,94.112,96.977,108.015,77.335,95.147,100.0,82.985,65.801,84.455,83.333,85.584,83.143,94.442,95.318,93.143,89.718,83.058,89.001,83.628,81.062,96.231,108.184,92.053,91.526,90.396,91.006,90.573,96.817,1.21
2015,　　　울산광역시,110.108,98.969,157.692,106.943,88.127,94.519,97.796,95.359,86.986,93.923,91.216,93.95,92.254,101.083,94.253,95.385,99.874,88.356,94.537,104.899,114.593,79.777,95.144,100.0,84.823,74.028,85.462,83.333,87.736,81.287,94.442,95.654,95.405,92.633,86.119,90.091,85.975,82.573,95.129,109.348,94.542,92.672,91.69,93.756,90.745,97.201,1.24
2016,　　　울산광역시,104.908,97.386,143.824,107.746,91.959,92.992,99.727,95.855,88.343,93.923,92.789,93.95,96.429,102.76,92.564,93.852,101.1,88.296,98.053,108.019,117.706,81.117,95.116,100.0,88.579,79.018,87.74,93.055,89.177,81.069,97.979,98.313,95.94,97.397,89.408,91.772,88.382,83.701,96.66,111.252,96.159,94.731,98.64,94.381,90.293,96.763,1.17
2017,　　　울산광역시,97.732,98.899,131.35,104.314,97.07,94.832,103.112,98.334,91.743,93.923,94.256,93.31,97.614,102.871,92.992,95.615,103.323,88.476,105.31,108.795,120.351,84.348,97.682,100.0,93.17,82.546,88.453,100.0,93.276,83.375,98.749,100.013,97.081,98.277,93.11,96.279,92.173,85.253,96.709,111.252,101.276,97.528,98.64,96.139,95.461,97.58,1.05
2018,　　　울산광역시,97.631,91.736,117.371,103.014,101.444,97.639,103.496,98.334,95.856,95.232,95.986,94.091,98.512,98.728,94.412,97.933,104.309,88.493,106.535,109.956,120.794,92.126,98.621,100.0,97.538,86.485,94.999,100.0,97.621,94.163,98.749,100.15,98.372,99.5,93.378,98.271,94.917,97.453,97.091,111.252,100.396,97.825,99.9,98.873,96.622,97.58,0.98
2019,　　　울산광역시,99.137,97.821,108.932,100.931,102.703,99.338,102.023,98.358,98.506,99.774,98.609,97.538,98.777,98.942,97.477,98.858,104.828,92.241,104.484,103.397,124.662,97.607,100.0,100.0,99.184,90.423,97.437,100.0,99.18,96.702,99.987,100.56,100.287,99.5,97.959,100.0,97.888,100.0,100.0,120.623,99.754,99.724,100.015,99.044,97.024,100.0,0.92
