시점,시도별,분유,이유식,TV,영상음향기기,휴대용멀티미디어기기,악기,유아동복,유아용학습교재,초등학교학습서,중학교학습서,고등학교학습서,아동화,장난감,반려동물용품,종이문구,기타문구,필기구,회화용구,유모차,유치원납입금,보육시설이용료,요양시설이용료,반려동물관리비,노래방이용료,놀이시설이용료,운동경기관람료,영화관람료,공연예술관람료,관람시설이용료,문화강습료,온라인콘텐츠이용료,초등학생학원비,중학생학원비,고등학생학원비,음악학원비,미술학원비,운동학원비,전산학원비,가정학습지,이러닝이용료,학교보충교육비,외국어학원비,운동강습료,미용료,뷰티미용료,산후조리원이용료,출산율
2021,　　　부산광역시,98.22,100.0,97.82,98.05,99.07,100.63,98.99,100.31,100.61,100.0,101.25,100.0,98.47,102.67,101.37,106.5,99.48,101.26,95.78,88.29,102.91,101.07,100.83,98.95,100.57,109.39,116.48,100.0,107.39,99.92,100.45,103.15,104.95,102.81,108.22,102.68,103.07,100.0,99.73,107.46,105.96,99.93,100.0,100.22,103.31,104.17,0.81
2022,　　　부산광역시,98.35,100.15,96.03,99.97,100.51,104.12,102.73,100.32,105.16,101.28,106.8,100.53,98.6,112.26,103.64,114.52,102.5,107.18,101.88,70.54,103.93,104.85,101.42,100.06,104.89,109.39,125.32,100.0,111.51,98.85,103.13,104.0,105.91,103.62,112.1,104.29,106.33,103.42,103.73,110.01,111.12,103.05,100.67,103.7,107.34,112.84,0.78
2012,　　　대구광역시,102.215,93.241,201.658,101.949,99.636,98.398,89.749,89.448,76.668,85.463,91.137,93.95,89.963,91.04,92.005,79.641,87.668,80.59,97.258,109.285,107.684,72.77,94.058,91.531,84.355,79.506,78.884,96.829,80.927,86.063,92.749,84.21,80.873,79.879,83.629,79.453,74.978,77.332,94.766,106.47,91.699,78.845,90.444,70.51,95.567,90.285,1.3
2013,　　　대구광역시,98.096,95.247,196.027,109.979,95.713,100.121,94.373,91.265,77.671,89.629,91.119,93.95,89.778,92.298,91.781,81.4,88.248,82.054,95.406,82.386,87.231,74.763,93.669,91.531,86.463,90.035,79.022,96.829,82.882,85.053,94.599,87.266,87.777,86.681,87.807,82.467,76.094,82.018,96.371,108.184,89.094,82.753,91.442,76.31,94.975,92.321,1.19
2014,　　　대구광역시,108.44,94.794,176.261,106.254,93.645,97.224,96.559,91.465,79.98,93.451,91.119,93.95,90.74,95.958,94.703,85.956,90.227,85.206,93.519,85.953,86.27,77.335,94.564,91.531,89.526,93.545,84.503,96.829,85.584,90.556,94.442,89.621,88.773,86.983,89.773,83.546,82.79,87.353,96.231,108.184,86.806,84.087,92.904,82.965,94.159,89.592,1.21
2015,　　　대구광역시,113.013,98.969,157.692,106.511,88.127,94.747,97.734,95.359,86.986,93.923,91.216,93.95,93.583,97.778,93.384,88.151,93.503,89.607,94.537,90.989,92.51,79.777,95.012,95.034,90.177,93.545,85.462,99.476,87.736,92.235,94.442,90.247,89.872,88.768,91.454,83.613,85.467,90.534,95.129,109.348,87.957,86.445,93.371,89.302,91.64,88.464,1.24
2016,　　　대구광역시,105.099,97.386,143.824,106.498,91.959,91.026,99.661,95.855,88.343,93.923,92.789,93.95,98.685,102.41,94.501,90.032,97.045,90.528,98.053,93.645,97.404,81.117,96.003,95.325,92.524,93.545,87.74,100.0,89.177,91.643,97.979,91.869,93.516,90.34,93.378,88.088,88.337,93.837,96.66,111.252,92.78,90.435,93.869,90.842,92.096,91.044,1.17
2017,　　　대구광역시,103.064,98.899,131.35,103.405,97.07,94.027,103.04,98.334,91.743,93.923,94.256,93.31,99.394,104.693,94.234,91.785,99.05,90.697,105.31,95.689,101.107,84.348,96.333,98.831,94.049,98.386,88.453,100.0,93.276,93.823,98.749,95.517,96.472,91.584,95.027,93.135,90.85,95.797,96.709,111.252,97.933,94.91,97.003,91.849,93.86,93.366,1.05
2018,　　　대구광역시,98.897,91.736,117.371,100.161,101.444,97.843,103.444,98.334,95.856,95.232,95.986,94.091,99.255,100.525,96.826,96.571,100.321,91.112,106.535,97.794,100.273,92.126,98.187,100.0,97.42,100.0,94.999,100.0,97.621,96.65,98.749,97.703,97.132,93.97,96.166,96.323,93.52,96.917,97.091,111.252,97.801,96.949,99.737,96.129,97.029,95.952,0.98
2019,　　　대구광역시,98.91,97.821,108.932,99.483,102.703,99.845,101.969,98.358,98.506,99.774,98.609,97.538,99.447,98.397,98.308,99.178,103.215,94.849,104.484,99.712,98.729,97.607,100.254,100.0,100.219,100.0,97.437,100.0,99.18,97.841,99.987,99.7,98.92,97.712,96.934,97.648,96.493,96.917,100.0,120.623,98.467,98.16,100.0,99.29,97.888,98.021,0.92
2020,　　　대구광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　대구광역시,98.01,100.0,97.82,98.24,99.07,100.0,98.99,100.31,100.61,100.0,101.25,100.0,99.87,102.62,100.57,104.45,98.57,100.97,95.78,97.42,101.06,101.07,100.24,102.05,102.76,100.0,116.48,100.0,107.39,104.25,100.45,101.96,103.45,102.14,104.3,102.29,101.67,103.04,99.73,107.46,103.04,100.67,100.0,104.19,102.21,101.61,0.81
2022,　　　대구광역시,99.31,100.15,96.03,101.3,100.51,101.16,102.73,100.32,105.16,101.28,106.8,100.53,99.17,105.26,107.92,112.6,100.77,100.47,101.88,78.7,99.51,104.85,100.73,107.23,107.43,100.0,125.32,100.0,111.51,109.01,103.13,105.61,105.58,107.55,113.81,106.84,108.7,105.79,103.73,110.01,107.0,103.64,100.0,108.68,104.14,102.57,0.78
2012,　　　인천광역시,101.299,93.254,213.748,101.412,93.355,96.629,89.774,89.448,76.668,85.463,91.137,93.95,91.892,78.221,99.046,79.624,97.771,86.404,96.956,158.201,141.43,72.77,90.375,86.739,82.683,83.279,79.025,83.293,80.927,94.359,92.749,85.936,86.116,85.844,82.695,86.243,76.039,86.494,94.766,106.47,81.531,84.417,90.829,78.007,90.539,77.02,1.3
2013,　　　인천광역시,101.816,94.702,200.347,106.275,92.311,97.501,94.385,91.265,77.671,89.629,91.119,93.95,89.976,82.477,96.364,81.266,96.81,85.334,94.769,119.135,107.124,74.763,93.302,89.455,84.405,85.237,79.025,90.068,82.882,97.169,94.599,87.673,87.763,89.004,87.497,90.851,78.359,93.292,96.371,108.184,84.894,86.661,92.265,79.276,91.551,79.873,1.19
2014,　　　인천광역시,108.179,94.772,178.692,104.873,92.016,96.16,96.579,91.465,79.98,93.451,91.119,93.95,91.32,92.709,98.526,88.832,101.947,90.017,94.112,118.334,112.043,77.335,97.509,91.869,86.67,88.051,84.117,99.552,85.584,96.754,94.442,90.128,89.306,90.039,89.26,91.133,81.427,95.262,96.231,108.184,95.657,86.569,92.518,84.293,93.126,82.566,1.21
2015,　　　인천광역시,112.524,98.969,157.692,104.553,88.127,96.453,97.749,95.359,86.986,93.923,91.216,93.95,92.813,94.384,97.951,91.24,104.52,93.34,94.537,124.475,120.515,79.777,97.953,90.662,87.24,90.221,85.462,99.552,87.736,91.586,94.442,91.831,92.404,92.776,91.245,92.739,83.326,95.262,95.129,109.348,98.051,89.405,94.547,87.504,93.85,85.33,1.24
2016,　　　인천광역시,106.503,97.386,143.824,105.143,91.959,96.365,99.676,95.855,88.343,93.923,92.789,93.95,97.12,95.65,100.279,90.68,105.202,93.708,98.053,122.841,126.003,81.117,97.953,89.307,90.392,92.717,87.74,99.552,89.177,88.728,97.979,94.564,93.747,95.049,94.808,94.647,88.185,93.9,96.66,111.252,99.686,90.696,96.239,89.702,94.89,87.938,1.17
2017,　　　인천광역시,102.729,98.899,131.35,102.524,97.07,97.708,103.058,98.334,91.743,93.923,94.256,93.31,98.707,96.856,98.779,93.389,106.22,94.665,105.31,123.676,129.68,84.348,97.953,89.996,91.611,90.949,88.453,93.334,93.276,90.491,98.749,95.118,95.348,95.584,95.059,95.029,90.166,94.72,96.709,111.252,100.971,92.989,96.239,94.257,95.869,91.541,1.05
2018,　　　인천광역시,97.697,91.736,117.371,100.207,101.444,98.013,103.455,98.334,95.856,95.232,95.986,94.091,99.961,96.48,98.836,96.306,105.509,94.791,106.535,125.629,106.721,92.126,98.962,96.408,96.015,94.397,94.999,100.0,97.621,94.026,98.749,95.118,95.992,96.524,97.5,98.257,94.643,95.034,97.091,111.252,100.971,94.311,96.239,97.767,95.786,94.379,0.98
2019,　　　인천광역시,99.952,97.821,108.932,99.273,102.703,99.81,101.983,98.358,98.506,99.774,98.609,97.538,99.575,97.972,99.837,97.694,105.587,97.003,104.484,109.888,99.534,97.607,99.481,98.75,100.021,97.767,97.437,100.0,99.18,95.652,99.987,96.346,96.385,96.524,99.29,98.983,96.097,95.421,100.0,120.623,100.162,97.297,99.135,100.0,95.982,96.574,0.92
2020,　　　인천광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　인천광역시,101.34,100.0,97.82,98.08,99.07,100.28,98.99,100.31,100.61,100.0,101.25,100.0,98.85,101.34,100.95,107.77,100.14,100.0,95.78,87.59,100.21,101.07,100.18,100.0,101.33,101.86,116.48,100.0,107.39,101.0,100.45,102.11,102.12,102.7,106.29,108.59,103.39,100.73,99.73,107.46,98.93,99.18,101.13,100.6,102.27,100.71,0.81
2022,　　　인천광역시,104.57,100.15,96.03,100.33,100.51,102.6,102.73,100.32,105.16,101.28,106.8,100.53,99.15,103.83,102.26,116.04,102.9,104.37,101.88,45.03,100.44,104.85,101.3,100.0,106.75,108.18,125.32,100.0,111.51,104.52,103.13,105.51,102.62,104.77,110.2,113.34,108.07,106.21,103.73,110.01,99.81,101.27,102.83,102.77,107.93,105.26,0.78
2012,　　　광주광역시,106.335,91.857,202.848,97.324,99.514,92.575,89.774,89.448,76.668,85.463,91.137,93.95,94.203,93.594,92.266,84.409,95.793,86.313,94.081,134.073,114.403,72.77,90.33,88.415,84.059,71.48,78.388,104.348,80.927,81.696,92.749,87.102,77.575,81.333,79.407,73.909,82.014,70.568,94.766,106.47,108.397,91.366,92.636,82.361,96.644,81.203,1.3
2013,　　　광주광역시,107.217,93.097,194.794,103.258,94.577,92.964,94.384,91.265,77.671,89.629,91.119,93.95,94.93,95.554,92.606,88.904,96.188,86.8,95.23,97.974,90.804,74.763,97.539,91.573,86.096,72.881,78.388,104.348,82.882,78.557,94.599,93.528,86.361,89.003,87.3,76.603,83.076,83.056,96.371,108.184,109.095,94.083,93.932,83.862,91.91,85.445,1.19
2014,　　　광주광역시,113.249,94.785,174.865,102.471,93.366,95.177,96.577,91.465,79.98,93.451,91.119,93.95,96.055,101.277,94.614,93.473,97.459,92.013,93.544,96.174,94.025,77.335,99.106,95.17,88.845,72.881,84.283,104.348,85.584,81.371,94.442,96.164,90.447,90.102,89.288,79.872,86.569,83.743,96.231,108.184,110.309,95.141,94.364,89.689,92.799,87.759,1.21
2015,　　　광주광역시,116.599,98.969,157.692,103.956,88.127,94.315,97.749,95.359,86.986,93.923,91.216,93.95,96.985,101.148,97.819,94.7,99.56,95.917,94.537,100.674,102.046,79.777,99.931,100.0,89.968,82.231,85.462,104.348,87.736,85.596,94.442,98.307,92.781,92.644,89.288,82.436,89.61,84.942,95.129,109.348,110.316,96.214,96.628,90.147,92.799,87.903,1.24
2016,　　　광주광역시,109.668,97.386,143.824,105.282,91.959,93.28,99.677,95.855,88.343,93.923,92.789,93.95,98.413,102.15,97.796,94.736,100.26,95.877,98.053,106.365,106.521,81.117,99.459,100.0,92.779,90.239,87.74,104.348,89.177,90.877,97.979,98.59,94.096,94.107,89.288,84.448,91.192,93.831,96.66,111.252,108.513,96.324,98.415,94.797,93.715,89.531,1.17
