"시군구별(1)","시군구별(2)",시점,계 (명)
"충청북도","충주시",2017.07,93
"충청북도","충주시",2017.08,109
"충청북도","충주시",2017.09,114
"충청북도","충주시",2017.10,94
"충청북도","충주시",2017.11,86
"충청북도","충주시",2017.12,77
"충청북도","충주시",2018.01,104
"충청북도","충주시",2018.02,106
"충청북도","충주시",2018.03,92
"충청북도","충주시",2018.04,112
"충청북도","충주시",2018.05,91
"충청북도","충주시",2018.06,94
"충청북도","충주시",2018.07,104
"충청북도","충주시",2018.08,101
"충청북도","충주시",2018.09,100
"충청북도","충주시",2018.10,85
"충청북도","충주시",2018.11,94
"충청북도","충주시",2018.12,72
"충청북도","충주시",2019.01,125
"충청북도","충주시",2019.02,97
"충청북도","충주시",2019.03,98
"충청북도","충주시",2019.04,92
"충청북도","충주시",2019.05,76
"충청북도","충주시",2019.06,100
"충청북도","충주시",2019.07,87
"충청북도","충주시",2019.08,104
"충청북도","충주시",2019.09,86
"충청북도","충주시",2019.10,93
"충청북도","충주시",2019.11,75
"충청북도","충주시",2019.12,67
"충청북도","충주시",2020.01,89
"충청북도","충주시",2020.02,101
"충청북도","충주시",2020.03,95
"충청북도","충주시",2020.04,81
"충청북도","충주시",2020.05,84
"충청북도","충주시",2020.06,91
"충청북도","충주시",2020.07,103
"충청북도","충주시",2020.08,75
"충청북도","충주시",2020.09,80
"충청북도","충주시",2020.10,76
"충청북도","충주시",2020.11,79
"충청북도","충주시",2020.12,88
"충청북도","충주시",2021.01,97
"충청북도","충주시",2021.02,98
"충청북도","충주시",2021.03,83
"충청북도","충주시",2021.04,85
"충청북도","충주시",2021.05,69
"충청북도","충주시",2021.06,84
"충청북도","충주시",2021.07,57
"충청북도","충주시",2021.08,77
"충청북도","충주시",2021.09,68
"충청북도","충주시",2021.10,74
"충청북도","충주시",2021.11,85
"충청북도","충주시",2021.12,77
"충청북도","제천시",2012.01,112
"충청북도","제천시",2012.02,89
"충청북도","제천시",2012.03,104
"충청북도","제천시",2012.04,95
"충청북도","제천시",2012.05,100
"충청북도","제천시",2012.06,75
"충청북도","제천시",2012.07,94
"충청북도","제천시",2012.08,81
"충청북도","제천시",2012.09,74
"충청북도","제천시",2012.10,96
"충청북도","제천시",2012.11,84
"충청북도","제천시",2012.12,67
"충청북도","제천시",2013.01,77
"충청북도","제천시",2013.02,80
"충청북도","제천시",2013.03,84
"충청북도","제천시",2013.04,85
"충청북도","제천시",2013.05,81
"충청북도","제천시",2013.06,78
